episode,reward,steps,epsilon,loss
474,46.387703001499176,51,0.05,
475,36.402826845645905,41,0.05,
476,48.1440691947937,53,0.05,
477,21.66822624206543,26,0.05,
478,14.362812936306,19,0.05,
479,58.05477339029312,63,0.05,
480,53.152774691581726,58,0.05,
481,16.324734210968018,21,0.05,
482,30.53371673822403,35,0.05,
483,35.151439011096954,40,0.05,
484,23.307002246379852,28,0.05,
485,26.624872088432312,31,0.05,
486,32.52402204275131,37,0.05,
487,60.027098059654236,65,0.05,
488,41.450800597667694,46,0.05,
489,16.254861414432526,21,0.05,
490,25.437335073947906,30,0.05,
491,103.18620920181274,110,0.05,
492,24.49249404668808,29,0.05,
493,39.31893843412399,44,0.05,
494,72.66762232780457,78,0.05,
495,22.674724280834198,27,0.05,
496,55.11118566989899,60,0.05,
497,14.25098830461502,19,0.05,
498,26.30680102109909,31,0.05,
499,30.21379244327545,35,0.05,
500,20.33213359117508,25,0.05,
501,72.74927258491516,78,0.05,
502,83.33619379997253,89,0.05,
503,52.26320791244507,57,0.05,
504,17.255045890808105,22,0.05,
505,23.089627623558044,28,0.05,
506,31.539955377578735,36,0.05,
507,14.323839008808136,19,0.05,
508,24.505459189414978,29,0.05,
509,16.305440366268158,21,0.05,
510,16.28618961572647,21,0.05,
511,40.25495487451553,45,0.05,
512,29.617253482341766,34,0.05,
513,60.935635566711426,66,0.05,
514,19.464566946029663,24,0.05,
515,23.47279018163681,28,0.05,
516,16.472481846809387,21,0.05,
517,22.521486580371857,27,0.05,
518,56.97073781490326,62,0.05,
519,28.45420867204666,33,0.05,
520,21.32801228761673,26,0.05,
521,38.382756769657135,43,0.05,
522,38.42442899942398,43,0.05,
523,22.538203954696655,27,0.05,
524,30.37073129415512,35,0.05,
525,67.69087493419647,73,0.05,
526,56.98164504766464,62,0.05,
527,20.23229169845581,25,0.05,
528,23.624020159244537,28,0.05,
529,17.295300543308258,22,0.05,
530,22.30831652879715,27,0.05,
531,35.41142284870148,40,0.05,
532,43.462865114212036,48,0.05,
533,26.701114535331726,31,0.05,
534,23.54802495241165,28,0.05,
535,27.45712172985077,32,0.05,
536,38.40517818927765,43,0.05,
537,28.52133536338806,33,0.05,
538,37.45754158496857,42,0.05,
